Symbol,EarningsPerShare,PriceEarningsRatio,DebtEquityRatio,ReturnOnEquity,QuickRatio,WorkingCapitalRatio
FTEO,-18.3182,0.0,1.7048,-0.1561,1.8239,1.8909
FTFT,-5.4808,0.0,-0.4193,1.8622,0.2057,0.2062
FUNC,1.5057,10.543,1.0336,0.0911,0.0202,0.0303
FUSB,0.3954,19.875,0.0,0.0313,0.0821,0.0885
FUV,-0.6895,0.0,0.5671,-1.3699,1.0947,1.8382
GBR,-0.227,0.0,0.0546,-0.1017,2.8867,29.9733
GEMP,-1.6569,0.0,1.2139,-3.0405,1.5909,1.6516
GENE,-0.009,0.0,0.0,-1.1596,3.9901,4.1295
GEVO,-3.2378,0.0,0.1414,-0.3151,6.4764,7.3176
GFED,1.647,13.1566,1.6409,0.0911,0.0401,0.0493
GIG,-0.036,0.0,0.0,-0.1331,137.4207,0.674
GIGM,-0.2889,0.0,0.0,-0.0549,18.4384,18.5136
GILT,0.3363,26.9412,0.0525,0.077,1.1293,1.7536
GLBS,-1.128,0.0,0.8981,-0.0869,0.0457,0.0647
GLBZ,0.5625,18.625,0.0,0.0465,0.0421,0.0515
GMO,-0.0784,0.0,0.0713,-0.1071,0.2452,0.2528
GNTY,1.7324,16.7528,0.522,0.0842,0.0359,0.0423
GNUS,-1.0092,0.0,0.3123,-0.7013,1.1429,1.2109
GPAQ,0.0692,0.0,0.0,0.2163,0.1507,0.1617
GSB,0.2034,24.8889,0.0,0.229,1.0224,1.1206
GSH,0.11,23.4703,0.0,0.027,0.9308,0.9898
GSIT,-0.212,0.0,0.0,-0.052,8.5959,9.626
GTIM,-0.0829,0.0,0.2204,-0.0304,0.627,0.7656
GTYH,0.0514,143.5714,0.12,0.3594,33.0407,0.0139
GVP,-0.0178,0.0,0.2734,-0.0114,1.4868,1.5674
HBCP,3.3322,10.1724,0.2602,0.1039,0.0342,0.0402
HCAP,0.791,12.7215,0.5731,0.0646,14.509,14.8704
HEBT,-0.3501,0.0,0.1144,-0.14,1.7473,1.9519
HFBL,1.8695,15.6818,0.9217,0.0759,0.0431,0.0739
HGSH,0.1164,10.1667,0.7709,0.0324,0.1712,1.0793
HHS,2.381,1.0126,-0.7402,-0.9148,1.387,1.9385
HIHO,0.4077,11.9512,0.0,0.132,2.1386,2.7223
